property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,dlf the grove,sector 54,5.7,23457.0,4.0,4.0,0,1.0,Moderately Old,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
flat,alpha corp gurgaonone,sector 84,2.2,7586.0,4.0,4.0,3,10.0,Relatively New,2610.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0
flat,umang winter hills,sector 77,1.05,5762.0,3.0,3.0,3,7.0,Relatively New,1600.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0
flat,emaar mgf emerald floors premier,sector 65,2.55,15454.0,3.0,3.0,3,3.0,Relatively New,1650.0,1.0,1.0,0.0,0.0,0.0,1.0,21.0
flat,ireo victory valley,sector 67,3.05,16266.0,3.0,4.0,2,35.0,Relatively New,2200.0,1.0,1.0,0.0,0.0,0.0,0.0,165.0
house,independant,sector 48,8.4,25926.0,4.0,4.0,3,2.0,Old Property,3240.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0
flat,pyramid urban homes 2,sector 86,0.5,9615.0,2.0,2.0,1,10.0,Relatively New,468.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
flat,dlf new town heights,sector 90,2.0,7334.0,4.0,4.0,3,20.0,Moderately Old,2459.9226804123714,0.0,1.0,0.0,0.0,1.0,1.0,49.0
flat,supertech araville,sector 79,0.9,5883.0,2.0,2.0,3,5.0,Relatively New,1450.0,1.0,0.0,0.0,0.0,0.0,1.0,53.0
flat,shree vardhman victoria,sector 70,1.63,8358.0,3.0,5.0,3,12.0,Relatively New,1401.9603092783505,0.0,1.0,0.0,0.0,0.0,1.0,43.0
flat,m3m crown,sector 111,4.67,17000.0,4.0,4.0,3,8.0,Relatively New,2475.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0
house,independant,sector 38,3.5,24306.0,3.0,3.0,2,1.0,Relatively New,1440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
flat,central park flower valley aqua front towers,sector 33,1.7,9449.0,3.0,3.0,3,5.0,New Property,1526.9046391752577,0.0,0.0,0.0,0.0,0.0,0.0,44.0
flat,kibithu villas,sector 48,3.45,12777.0,4.0,4.0,3,2.0,Moderately Old,2430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,tulip violet,sector 69,1.3,8445.0,3.0,3.0,1,12.0,Relatively New,1387.3711340206187,0.0,0.0,0.0,1.0,0.0,0.0,94.0
flat,allure homes,sector 12,0.72,7272.0,2.0,2.0,1,2.0,Relatively New,891.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
flat,umang monsoon breeze,sector 78,1.05,5666.0,3.0,3.0,3,6.0,Moderately Old,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,ireo skyon,sector 60,3.7,13214.0,4.0,5.0,3,10.0,Relatively New,2525.773195876289,0.0,1.0,0.0,0.0,0.0,0.0,165.0
flat,orris aster court,sector 85,0.69,5221.0,2.0,2.0,2,5.0,Relatively New,1075.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0
flat,puri emerald bay,sector 104,2.6,15160.0,3.0,4.0,3,5.0,Relatively New,1715.0,1.0,1.0,0.0,0.0,0.0,0.0,81.0
flat,m3m golfestate,sector 65,5.3,24211.0,3.0,3.0,3,38.0,Moderately Old,2270.488144329897,0.0,1.0,0.0,0.0,0.0,0.0,49.0
flat,pivotal devaan,sector 84,0.35,7246.0,2.0,2.0,2,4.0,Relatively New,434.7,0.0,0.0,0.0,0.0,0.0,1.0,37.0
flat,ambience creacions,sector 22,1.65,11956.0,2.0,2.0,2,9.0,Relatively New,1200.0,0.0,0.0,0.0,1.0,1.0,0.0,133.0
flat,vatika city,sector 49,3.6,11920.0,4.0,5.0,3,7.0,Moderately Old,2718.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0
flat,adani m2k oyster grande,sector 102,2.5,7817.0,4.0,5.0,3,5.0,Relatively New,2884.7938144329896,0.0,1.0,0.0,0.0,0.0,0.0,76.0
flat,ireo victory valley,sector 67,3.65,13528.0,3.0,4.0,3,18.0,Relatively New,2490.0,0.0,1.0,0.0,1.0,0.0,0.0,61.0
flat,suncity platinum towers,sector 28,7.0,22222.0,4.0,3.0,2,10.0,Moderately Old,2281.5974226804124,0.0,1.0,0.0,0.0,0.0,0.0,31.0
flat,dlf new town heights,sector 90,1.25,6476.0,3.0,3.0,3,17.0,Relatively New,1700.0,0.0,1.0,0.0,1.0,0.0,1.0,65.0
flat,dlf regal gardens,sector 90,1.25,5931.0,3.0,3.0,3,18.0,Relatively New,1551.5463917525774,0.0,0.0,0.0,0.0,1.0,1.0,72.0
house,independant,sector 3,0.4,8000.0,2.0,1.0,0,1.0,Relatively New,500.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
house,nirvana country,sector 50,10.0,14285.0,5.0,7.0,2,4.0,Moderately Old,7000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
house,suncity township,sector 54,25.0,31110.0,4.0,4.0,3+,2.0,Moderately Old,8036.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
flat,ats tourmaline,sector 109,1.72,8000.0,3.0,4.0,3,7.0,Relatively New,1797.0,0.0,1.0,0.0,0.0,0.0,0.0,167.0
house,independant,sector 25,13.5,19286.0,9.0,9.0,0,1.0,Relatively New,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,the close north,sector 50,2.65,10685.0,3.0,4.0,3,6.0,Moderately Old,2470.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0
flat,ramsons kshitij,sector 95,0.24,53.0,2.0,2.0,1,10.0,Relatively New,41369.4,0.0,0.0,0.0,0.0,1.0,1.0,33.0
house,sector 38 rwa,sector 38,4.3,28782.0,3.0,9.0,3+,3.0,Relatively New,1494.0,0.0,0.0,0.0,1.0,1.0,0.0,41.0
flat,imperia the esfera,sector 37,1.4,5384.0,4.0,5.0,3,9.0,Relatively New,2117.680412371134,1.0,1.0,0.0,1.0,1.0,1.0,49.0
flat,prime habitat,sector 99,0.27,6049.0,2.0,2.0,1,10.0,Relatively New,403.2,0.0,0.0,0.0,0.0,0.0,1.0,67.0
flat,smart world orchard,sector 61,2.5,16139.0,3.0,3.0,1,1.0,New Property,1549.0,0.0,0.0,0.0,0.0,0.0,1.0,61.0
flat,dlf the ultima,sector 81,2.5,11726.0,3.0,3.0,2,4.0,Relatively New,2130.0,0.0,1.0,0.0,0.0,0.0,0.0,82.0
flat,godrej air,sector 85,2.6,12212.0,3.0,3.0,3,17.0,Relatively New,2129.0,0.0,1.0,0.0,0.0,0.0,1.0,44.0
flat,godrej,sector 79,1.47,16256.0,2.0,2.0,3,9.0,New Property,75.609,1.0,0.0,0.0,0.0,0.0,1.0,99.0
flat,unitech the palms,sector 41,2.75,16768.0,3.0,3.0,2,14.0,Old Property,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
flat,dlf the ultima,sector 81,2.2,10476.0,3.0,4.0,3,17.0,Relatively New,1894.3298969072166,0.0,1.0,0.0,0.0,0.0,0.0,49.0
flat,ireo the corridors,sector 67,2.0,11428.0,3.0,3.0,3,12.0,New Property,1578.6082474226805,1.0,0.0,0.0,0.0,0.0,1.0,38.0
flat,godrej oasis,sector 88,1.29,7800.0,3.0,3.0,3,5.0,New Property,1467.329381443299,1.0,0.0,0.0,0.0,1.0,1.0,65.0
flat,shree vardhman flora,sector 90,0.65,4814.0,2.0,2.0,3,3.0,Relatively New,1217.7835051546392,1.0,0.0,0.0,0.0,0.0,1.0,106.0
flat,godrej air,sector 85,1.8,13136.0,3.0,3.0,3,30.0,Under Construction,114.57,0.0,0.0,0.0,0.0,0.0,1.0,45.0
house,independant,sector 105,0.74,7400.0,3.0,3.0,0,2.0,Moderately Old,1000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
house,independant,sector 4,0.67,8557.0,3.0,2.0,1,1.0,Moderately Old,783.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0
flat,the center court,sector 88,2.1,12173.0,4.0,4.0,3,0.0,New Property,1745.0,1.0,1.0,0.0,0.0,0.0,1.0,142.0
flat,whiteland  the aspen,sector 76,3.5,11917.0,3.0,4.0,3,8.0,New Property,2937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house,malibu towne,sector 47,1.15,4646.0,3.0,3.0,3,2.0,Old Property,275.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
flat,surendra avenue 69,sector 69,0.75,6818.0,2.0,2.0,2,4.0,Moderately Old,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,puri emerald bay,sector 104,2.45,10000.0,3.0,4.0,3,14.0,Relatively New,1933.0257731958764,0.0,1.0,0.0,0.0,0.0,0.0,56.0
flat,indiabulls centrum park,sector 103,2.4,8347.0,4.0,6.0,3,15.0,Relatively New,2456.0,0.0,1.0,0.0,0.0,0.0,1.0,156.0
flat,m3m golf hills,sector 79,1.45,10211.0,2.0,2.0,3,15.0,Relatively New,1278.0,0.0,0.0,0.0,0.0,0.0,1.0,67.0
flat,ats kocoon,sector 109,1.68,9627.0,3.0,3.0,3,8.0,Relatively New,1574.0979381443299,0.0,0.0,0.0,0.0,0.0,1.0,142.0
flat,tata primanti,sector 72,4.1,13725.0,3.0,3.0,3,8.0,Moderately Old,2300.257731958763,0.0,1.0,0.0,0.0,0.0,0.0,38.0
house,experion windchants,sector 112,7.99,12519.0,4.0,6.0,3,2.0,New Property,6382.0,0.0,1.0,1.0,1.0,0.0,0.0,129.0
flat,signature global the millennia,sector 37,0.6,9230.0,2.0,2.0,3,7.0,New Property,561.4241030927835,0.0,0.0,0.0,0.0,0.0,1.0,35.0
house,independant,sector 3,0.9,10000.0,3.0,4.0,3,3.0,Moderately Old,3500.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0
flat,ild grand,sector 37,1.2,6593.0,3.0,3.0,3,7.0,Relatively New,1641.7525773195878,0.0,0.0,0.0,0.0,0.0,1.0,24.0
flat,godrej habitat,sector 3,1.25,8656.0,2.0,2.0,3,14.0,Relatively New,1062.1386597938144,0.0,0.0,0.0,0.0,0.0,1.0,36.0
flat,czar mahira homes 63a,sector 63,0.42,7407.0,3.0,2.0,2,1.0,Relatively New,510.29999999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0
flat,emaar mgf the palm drive,sector 66,1.51,15130.0,2.0,2.0,2,5.0,Relatively New,1188.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0
flat,signature global city 37d ph 2,sector 37,1.07,8237.0,3.0,3.0,2,2.0,Relatively New,1174.5,0.0,0.0,0.0,0.0,0.0,1.0,86.0
house,palam vihar extension west zone rwa,sector 2,0.65,5777.0,2.0,2.0,1,1.0,Moderately Old,1125.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0
flat,signature global park,sohna road,0.53,6386.0,2.0,2.0,2,2.0,Relatively New,739.8,0.0,0.0,0.0,1.0,0.0,0.0,168.0
flat,supertech hues,sector 68,0.82,6950.0,2.0,2.0,3,21.0,Under Construction,1064.4329896907216,0.0,0.0,0.0,0.0,1.0,1.0,72.0
flat,aipl the peaceful homes,sector 70,2.55,11860.0,3.0,3.0,3,20.0,New Property,2000.0,0.0,1.0,0.0,1.0,1.0,0.0,150.0
flat,vipul lavanya,sector 81,0.6,6666.0,2.0,2.0,1,0.0,Relatively New,810.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
flat,ss the leaf,sector 85,1.05,6402.0,2.0,2.0,3,11.0,Relatively New,1479.381443298969,0.0,0.0,0.0,0.0,0.0,1.0,44.0
flat,nbcc heights,sector 89,0.75,6578.0,2.0,2.0,2,6.0,Moderately Old,1028.3505154639176,0.0,0.0,0.0,0.0,0.0,1.0,0.0
flat,shree vardhman flora,sector 90,0.65,4814.0,2.0,2.0,3,10.0,Moderately Old,1217.7835051546392,1.0,0.0,0.0,0.0,0.0,0.0,83.0
house,independant,sector 4,0.4,8889.0,1.0,1.0,0,1.0,Moderately Old,450.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
house,independant,sector 25,6.5,36111.0,4.0,4.0,3+,2.0,Moderately Old,1800.0,1.0,1.0,1.0,1.0,0.0,0.0,61.0
flat,orris aster court,sector 85,0.67,5825.0,2.0,2.0,2,5.0,Relatively New,1250.0,0.0,0.0,0.0,0.0,1.0,0.0,174.0
house,independant,sector 2,5.0,15384.0,6.0,6.0,2,1.0,Moderately Old,2925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,awho shanti vihar,sector 95,0.82,9879.0,2.0,2.0,3,13.0,New Property,1004.9432989690722,1.0,0.0,0.0,0.0,0.0,1.0,114.0
house,unitech espace,sector 50,9.8,30247.0,4.0,4.0,3,2.0,Moderately Old,3240.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0
flat,smart world gems,sector 89,1.0,9033.0,2.0,2.0,2,1.0,Under Construction,996.3,1.0,0.0,0.0,0.0,0.0,1.0,38.0
flat,smriti apartment,sector 56,0.6,10000.0,1.0,1.0,1,2.0,Moderately Old,541.2371134020618,0.0,0.0,0.0,0.0,0.0,1.0,49.0
house,independant,sector 25,8.0,8000.0,3.0,9.0,2,3.0,New Property,9000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
flat,hsiidc sidco shivalik apartments,sector 1,0.85,5102.0,3.0,2.0,2,5.0,Moderately Old,1502.8350515463917,0.0,0.0,0.0,0.0,0.0,1.0,0.0
flat,sare crescent parc,sector 92,0.9,4278.0,4.0,5.0,3,14.0,Relatively New,1686.8556701030927,0.0,1.0,0.0,0.0,1.0,1.0,62.0
flat,tulip purple,sector 69,2.6,10833.0,4.0,4.0,3,4.0,Moderately Old,2164.9484536082473,0.0,1.0,0.0,0.0,0.0,0.0,37.0
house,unitech palms south city 1,sector 41,9.25,28549.0,9.0,9.0,3+,4.0,Moderately Old,5000.0,1.0,1.0,1.0,1.0,0.0,0.0,65.0
house,international city by sobha phase 2,sector 109,9.5,26389.0,7.0,6.0,3,3.0,Relatively New,3600.0,1.0,1.0,0.0,1.0,0.0,1.0,138.0
flat,la vida by tata housing,sector 113,2.4,10825.0,3.0,4.0,3,5.0,Relatively New,1940.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0
flat,smart world gems,sector 89,1.05,9519.0,2.0,2.0,2,4.0,Under Construction,1103.0,1.0,0.0,0.0,0.0,1.0,1.0,38.0
flat,vipul world,sector 48,1.38,9482.0,3.0,3.0,1,2.0,Relatively New,1305.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0
flat,sare green parc phase 3,sector 92,0.79,6086.0,3.0,2.0,2,15.0,New Property,1170.8762886597938,0.0,0.0,0.0,0.0,0.0,1.0,29.0
flat,sobha city,sector 108,3.75,14938.0,3.0,3.0,2,16.0,New Property,2113.5309278350514,0.0,1.0,0.0,0.0,0.0,0.0,77.0
flat,sare crescent parc,sector 92,0.51,4080.0,3.0,2.0,2,2.0,Relatively New,1127.5773195876288,0.0,0.0,0.0,0.0,0.0,1.0,72.0
house,vatika sovereign next,sector 82,3.85,7500.0,5.0,6.0,3+,6.0,Relatively New,5140.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
flat,ansal housing highland park,sector 103,0.8,5878.0,2.0,2.0,2,9.0,Relatively New,1361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,unitech uniworld city,sector 30,3.55,14991.0,3.0,5.0,3,16.0,Old Property,2367.0,0.0,1.0,0.0,0.0,0.0,0.0,141.0
flat,dlf regency park,sector 28,2.3,11817.0,3.0,3.0,3,7.0,Moderately Old,1777.0,0.0,1.0,0.0,0.0,0.0,0.0,117.0
flat,indiabulls centrum park,sector 103,2.2,7652.0,4.0,6.0,3,4.0,Relatively New,2593.4278350515465,0.0,1.0,0.0,0.0,0.0,0.0,108.0
flat,pioneer araya,sector 62,9.14,19488.0,4.0,6.0,3,16.0,Relatively New,3581.4350515463916,1.0,1.0,1.0,0.0,0.0,0.0,146.0
house,independant,sector 11,1.2,4444.0,7.0,3.0,0,3.0,Moderately Old,300.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
flat,indiabulls centrum park,sector 103,2.45,8521.0,4.0,4.0,3,11.0,Relatively New,2593.4278350515465,1.0,1.0,1.0,1.0,0.0,0.0,38.0
flat,railway officers rpf society,sector 9,1.25,6921.0,4.0,3.0,3,1.0,Old Property,1625.3999999999999,0.0,1.0,0.0,0.0,0.0,0.0,12.0
flat,dlf the skycourt,sector 86,1.5,7776.0,3.0,3.0,1,15.0,Relatively New,1550.0,0.0,0.0,0.0,0.0,0.0,1.0,159.0
flat,bestech park view spa next,sector 67,2.7,11489.0,4.0,4.0,3,9.0,Moderately Old,2119.8453608247423,0.0,1.0,0.0,1.0,0.0,0.0,149.0
flat,eldeco accolade,sohna road,0.87,5965.0,2.0,2.0,3,10.0,Relatively New,1039.20206185567,1.0,0.0,0.0,0.0,0.0,1.0,72.0
flat,sonata group housing gh 24,sector 1,1.65,5892.0,4.0,3.0,3,8.0,New Property,2520.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0
flat,godrej nature plus,sector 33,1.31,15982.0,2.0,2.0,2,4.0,Under Construction,68.79599999999999,0.0,0.0,0.0,0.0,0.0,1.0,92.0
flat,ireo skyon,sector 60,2.82,12818.0,3.0,3.0,3,2.0,Relatively New,2400.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0
flat,signature global city,sector 37,1.1,8494.0,3.0,3.0,2,2.0,Relatively New,1165.5,0.0,0.0,0.0,0.0,0.0,0.0,36.0
flat,sidhivinayak apartments,sector 55,1.9,10555.0,4.0,3.0,3,9.0,Moderately Old,1620.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0
flat,experion windchants,sector 112,5.31,11204.0,4.0,6.0,3,15.0,Relatively New,3573.33,0.0,1.0,0.0,1.0,0.0,0.0,72.0
house,independant,sector 43,5.5,28424.0,1.0,1.0,0,1.0,Old Property,1935.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
flat,vatika city,sector 49,2.64,11725.0,3.0,4.0,3,2.0,Moderately Old,2252.0,0.0,1.0,0.0,1.0,0.0,0.0,140.0
flat,vatika india next,sector 82,0.8,6426.0,2.0,2.0,3,9.0,Relatively New,1120.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0
house,bptp pedestal,sector 70,0.92,7750.0,2.0,3.0,3+,3.0,New Property,1068.3,0.0,0.0,0.0,0.0,1.0,0.0,153.0
flat,dlf regal gardens,sector 90,1.3,7150.0,3.0,3.0,3,7.0,Relatively New,1700.0,0.0,0.0,0.0,0.0,0.0,1.0,141.0
flat,green homes,sector 52,1.85,7872.0,3.0,3.0,3,7.0,Moderately Old,2119.8453608247423,0.0,1.0,0.0,0.0,0.0,0.0,28.0
flat,raheja atharva,sector 109,2.2,9490.0,3.0,3.0,2,7.0,Moderately Old,2086.2,0.0,1.0,0.0,0.0,0.0,0.0,111.0
flat,hcbs sports ville,sohna road,0.25,4166.0,1.0,1.0,1,12.0,Relatively New,600.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0
flat,dlf regency park,sector 28,1.91,16608.0,2.0,2.0,2,11.0,New Property,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
flat,dlf 76,new,4.0,11428.0,4.0,4.0,2,4.0,Moderately Old,3150.0,1.0,1.0,0.0,0.0,0.0,0.0,101.0
flat,mapsko mount ville,sector 79,1.85,9641.0,3.0,4.0,3,21.0,New Property,1637.2422680412371,0.0,1.0,0.0,1.0,0.0,0.0,49.0
flat,dlf the grove,sector 43,6.0,25000.0,4.0,4.0,2,1.0,Old Property,2160.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0
flat,bestech park view grand spa,sector 81,2.2,8270.0,3.0,4.0,3,8.0,Relatively New,2234.7422680412374,0.0,1.0,0.0,0.0,0.0,0.0,165.0
flat,pyramid urban homes 2,sector 86,0.5,9698.0,2.0,2.0,2,6.0,Old Property,464.01300000000003,0.0,0.0,0.0,0.0,0.0,1.0,15.0
flat,ss,sector 110,2.09,7432.0,4.0,4.0,3,8.0,Relatively New,2600.0,1.0,1.0,0.0,1.0,0.0,0.0,49.0
flat,unitech harmony,sector 50,2.6,9590.0,3.0,4.0,2,15.0,Relatively New,2700.0,0.0,1.0,0.0,0.0,1.0,0.0,174.0
house,independant,sector 25,10.0,37037.0,5.0,6.0,3,3.0,Old Property,2700.0,0.0,1.0,1.0,0.0,0.0,0.0,64.0
flat,godrej oasis,sector 88,1.19,10162.0,2.0,2.0,3,15.0,Relatively New,1261.2283505154637,1.0,0.0,0.0,1.0,0.0,0.0,174.0
flat,antriksh heights,sector 84,0.85,5556.0,2.0,2.0,3,10.0,New Property,1217.7835051546392,1.0,0.0,0.0,0.0,1.0,1.0,24.0
flat,the lions cghs,sector 56,2.09,8708.0,4.0,4.0,3,7.0,Relatively New,2300.0,0.0,0.0,0.0,0.0,1.0,0.0,125.0
flat,m3m heights,sector 65,2.15,15003.0,2.0,2.0,3,28.0,Relatively New,1433.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
flat,the castle society,sector 56,2.0,8695.0,4.0,4.0,2,4.0,Under Construction,2074.7422680412374,0.0,0.0,0.0,0.0,0.0,1.0,0.0
flat,godrej oasis,sector 88,2.65,16747.0,3.0,3.0,3,10.0,New Property,1582.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
